date,forecast
2025-08-27,181.58396757730347
2025-08-28,181.5481560121868
2025-08-29,181.19452009891407
2025-09-01,181.08479574177616
2025-09-02,180.99257349560244
2025-09-03,181.02498600950767
2025-09-04,181.03713825886553
2025-09-05,181.06450303899067
2025-09-08,181.06895926950563
2025-09-09,181.07266360495325
2025-09-10,181.06896629272833
2025-09-11,181.06772759117675
2025-09-12,181.06593875289994
2025-09-15,181.06592278497553
2025-09-16,181.06584566555227
2025-09-17,181.06618015206445
2025-09-18,181.06626614776118
2025-09-19,181.0663682567101
2025-09-22,181.06634661533766
2025-09-23,181.06634153189208
2025-09-24,181.06631557467034
2025-09-25,181.06631141414803
2025-09-26,181.06630647174967
2025-09-29,181.0663094886589
2025-09-30,181.06631030724535
2025-10-01,181.06631209121403
2025-10-02,181.06631215583064
2025-10-03,181.06631233591278
2025-10-06,181.06631204148312
2025-10-07,181.06631197519945
